BFF_Label;negative_adjectives_component;social_order_component;action_component;positive_adjectives_component;joy_component;affect_friends_and_family_component;fear_and_digust_component;politeness_component;polarity_nouns_component;polarity_verbs_component;virtue_adverbs_component;positive_nouns_component;respect_component;trust_verbs_component;failure_component;well_being_component;economy_component;certainty_component;positive_verbs_component;objects_component
A;-0.7293672;0.9264;0.7141;0.4029;0.0;1.3043;0.0;0.265;0.365382;0.7002;0.1272;0.0;0.0;0.5033;0.0;0.0;0.1144;0.3312;1.035;0.1204
A;-0.7293672;1.513666667;0.0;1.051575;0.0;1.4411266669999998;0.0;0.0;0.695206;0.7002;0.212;0.0;0.0;0.973;0.0;0.0;0.1906666669999999;0.898666667;1.134333333;0.0
A;-0.6315584;0.202714286;0.0;0.053846429;0.0;0.0;0.0;0.082142857;0.6679136;0.189522;0.0;0.0;0.0;0.0;0.0;0.222;0.0;0.5587142860000001;0.0;0.241714286
A;0.904775143;0.339571429;1.021;-0.20935;0.0;0.173885714;0.17;0.082142857;0.816595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.431285714;-0.872;0.0
A;0.1537676;0.0;0.0;-0.009675;0.0;0.54953;0.34;0.0;0.174762;-0.676876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.163;-0.872;0.0
A;7.071226400000001;0.396125;0.5105;-0.314465;0.0;0.274765;0.7585;0.0;-0.1169579999999999;0.0;0.0795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.821;0.567571429;0.072714286;0.952428571;4.9106;0.6157600000000001;0.0851428569999999;0.0;0.490612;0.93304;0.090857143;0.0;0.0;0.141857143;0.0;0.0;0.0;0.0;0.0;0.0
A;-1.3284448;2.241714286;0.2225;2.024003571;8.123817143;0.327825714;0.0;0.0;1.002843333;0.93304;0.090857143;0.0;0.0;0.141857143;0.0;0.0;0.0;0.512;0.0;0.0
A;-0.7080255999999999;0.7058;0.0;1.176725;0.1874;0.3374;0.0;0.0;1.7139209999999998;0.93304;0.1272;0.9984;0.0;0.1986;0.0;0.0;0.0;0.0;0.0;0.0
A;1.626;0.074;0.0;-0.545;0.0;0.0;0.0;0.0;0.378102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.86;0.0;0.0
A;0.015773143;0.198571429;0.0;-0.1383;0.0;0.0;1.452333333;0.906142857;0.286076;-0.04528;0.0;0.0;0.0;0.0;0.0;0.0;0.1906666669999999;0.093142857;-0.872;0.086
A;0.0;0.34075;1.370375;0.2595;0.0;0.0;0.0;0.0;0.473718;0.312176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41775;0.0;0.619
A;0.2196043999999999;0.145142857;2.686738095;-0.43273;0.0;0.781333333;0.0;0.0;0.80213;0.0;0.0;0.0;0.0;0.163;0.0;0.0;0.0;0.0;0.0;0.0
A;0.2153623999999999;0.212333333;1.021;-0.40439;0.0;0.37948;0.0;0.0;1.883964;0.617834;0.0;0.974833333;0.0;0.0;0.0;0.0;0.0;0.4493333329999999;0.0;0.0
A;0.3462;1.0448;2.0846;-0.545;0.0;0.0;0.1258;2.1586;0.029572;0.123966;0.0;0.0;0.0;0.1008;0.0;0.0;0.0;0.1304;0.0;0.2896
A;0.2856619999999999;0.1625;1.129166667;-0.37823;0.0;0.5722033329999999;0.6890000000000001;0.2875;0.02557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.2536056;0.7765;0.5105;-0.32695;0.0;0.3675;0.366;0.0;0.6823132;-0.2999179999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.74075;-0.872;0.0
A;0.228;0.195;1.021;-0.545;0.0;0.0;0.17;0.949;0.337126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4746;-0.872;0.0
A;0.060666667;0.2166666669999999;2.550077778;-0.545;0.0;0.0974;0.1258;1.922777778;0.2291376;0.0;0.0;0.0;0.0;0.0559999999999999;0.0;0.0;0.0;0.072444444;0.0;0.066888889
A;0.042916;0.305666667;1.382166667;-0.1383;0.0;0.0;0.113333333;0.0;0.1607319999999999;0.0;0.0;0.0;0.0;0.2445;0.0;0.0;0.0;0.0;-0.872;0.0
A;0.157571429;0.063428571;1.021;-0.545;0.0;0.3095;0.0;0.082142857;0.866706;0.273263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.431285714;0.0;0.0
A;0.0;1.1402;1.2246;-0.4102;0.0932;0.428908;0.0;0.0;0.687711;0.617834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4746;0.0;0.0
A;-1.2268256000000002;0.4034;0.3243;1.6969;0.0;0.634424;0.0;0.0;0.728378;0.354509;0.0;0.0;0.0;0.0;0.0;0.0;0.8640000000000001;0.0;0.0;0.2896
A;3.009438267;0.325;1.021;-0.35861;0.0;0.3663533329999999;0.3229999999999999;0.0;-0.1695819999999999;0.354509;0.0;0.0;0.0;0.0;0.0;0.259;0.0;0.0;0.0;0.0
A;-0.733014;1.3686;0.445;0.927575;0.0942;0.997876;0.0;0.115;1.097699;2.323311;0.0;0.0;0.0;0.8743;0.0;0.0;0.0;0.7976;1.035;0.0
A;0.0;0.618833333;1.1475;-0.545;0.0;0.0;0.0;0.0;0.695206;0.200504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.772333333;0.0;0.100333333
A;-1.3284448;3.171142857;0.517714286;2.088928571;8.123817143;0.327825714;0.0;0.0;1.190966;0.0;0.0;0.0;0.0;0.283714286;0.0;0.0;0.0;0.2545714289999999;0.0;0.086
A;0.091;0.552;0.0;-0.545;0.0;0.0;0.0;0.0;0.6667164289999999;1.1632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4493333329999999;0.0;0.0
A;1.5004134669999998;0.049333333;0.0;-0.318375;0.1874;0.192524444;1.3573;0.0;0.759664667;0.0;0.0;0.0;0.0;0.1538;0.0;0.0;0.0;0.407222222;0.0;0.0
A;3.2658;0.357;0.1018;-0.545;0.0;0.294;0.2248;0.0;0.6823132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9474;1.1848;0.0;0.0
A;0.0;0.0888;1.021;-0.545;0.0;0.4396239999999999;0.17;0.0;0.174762;-0.247454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.9443308;0.148;1.2755;1.893541667;3.747;1.121136667;1.6675;0.095833333;-1.082436;2.323311;0.0;0.0;0.0;0.8605;0.0;0.0;0.0;0.094166667;1.010166667;0.0
A;0.1192524;0.111;1.021;0.159375;0.0;0.8735200000000001;0.17;0.0;0.174762;-2.402932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.872;0.0
A;0.3394;0.195;1.021;-0.545;0.0;0.0;0.732;0.115;-1.250932;0.470707;0.0;-0.863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.0;1.062833333;1.021;-0.430833333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.02;0.0;0.094166667;0.0;0.0
A;0.9804886;0.2798;0.0;-0.185845;0.0;0.36158;0.7768;0.0;-0.145775;-2.205857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2356;-0.872;0.0
A;0.091;0.074;1.382166667;-0.545;0.0;0.0;0.0;0.095833333;0.695206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.772333333;0.0;0.0
A;0.1856668;0.111;1.021;-0.061125;0.0;0.0;0.17;0.0;0.378102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8355;-0.872;0.0
A;0.022994;0.254;0.0;0.083425;0.0;0.0;0.0;0.475;-0.30078;0.0;0.0;0.0;0.221;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;-1.4393552;0.191;0.0;2.501575;0.0;0.0974;0.0;0.0;0.1735448;1.082861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.035;0.0
A;0.0;0.2365;1.021;-0.545;0.0;0.0;0.0;0.0;0.0;0.189522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.405;0.0;0.1265;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.181833333;0.0;1.238
A;0.06825;0.249625;1.021;-0.545;0.0;0.0;0.0;0.0;0.9622844000000002;0.0;0.0;0.0;0.0;0.3075;0.0;0.0;0.0;0.0;0.0;0.0
A;0.0;0.177375;1.14825;-0.545;0.0;0.2617875;0.0;0.0;0.208128;-0.244991;0.0;0.0;0.0;0.12225;0.0;0.0;0.0;0.246875;0.0;0.1505
A;0.0;0.887375;1.021;-0.545;0.0;0.2474675;0.0;0.0;0.634532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.246875;0.0;0.07525
A;0.7074916;0.1022;1.1039;-0.33027;0.0;0.0;0.552;0.0;-0.5222359999999999;-2.401167;0.0;0.0;0.0;0.4803;0.0;0.0;0.0;0.3872;-0.872;0.1204
A;0.5613001710000001;0.282428571;0.360714286;-0.3804099999999999;0.0;0.0;0.4428571429999999;0.0;0.772402;-2.401167;0.0;0.0;0.0;0.211714286;0.0;0.0;0.0;0.0;-0.872;0.0
